[4720/7000 2.15%] Fetching | 200 | downloading | scanning | none
[4721/7000 2.19%] Fetching | 200 | downloading | scanning | test 2020
[4722/7000 2.23%] Fetching | 404 | skipping
[4723/7000 2.27%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4724/7000 2.32%] Fetching | 404 | skipping
[4725/7000 2.36%] Fetching | 200 | downloading | scanning | none
[4726/7000 2.40%] Fetching | 200 | downloading | scanning | none
[4727/7000 2.45%] Fetching | 200 | downloading | scanning | none
[4728/7000 2.49%] Fetching | 200 | downloading | scanning | none
[4729/7000 2.53%] Fetching | 200 | downloading | scanning | none
[4730/7000 2.58%] Fetching | 404 | skipping
[4731/7000 2.62%] Fetching | 200 | downloading | scanning | none
[4732/7000 2.66%] Fetching | 200 | downloading | scanning | none
[4733/7000 2.70%] Fetching | 200 | downloading | scanning | none
[4734/7000 2.75%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4735/7000 2.79%] Fetching | 200 | downloading | scanning | none
[4736/7000 2.83%] Fetching | 200 | downloading | scanning | none
[4737/7000 2.88%] Fetching | 200 | downloading | scanning | none
[4738/7000 2.92%] Fetching | 200 | downloading | scanning | none
[4739/7000 2.96%] Fetching | 404 | skipping
[4740/7000 3.00%] Fetching | 200 | downloading | scanning | none
[4741/7000 3.05%] Fetching | 200 | downloading | scanning | none
[4742/7000 3.09%] Fetching | 200 | downloading | scanning | none
[4743/7000 3.13%] Fetching | 200 | downloading | scanning | none
[4744/7000 3.18%] Fetching | 200 | downloading | scanning | none
[4745/7000 3.22%] Fetching | 200 | downloading | scanning | none
[4746/7000 3.26%] Fetching | 200 | downloading | scanning | none
[4747/7000 3.30%] Fetching | 200 | downloading | scanning | none
[4748/7000 3.35%] Fetching | 200 | downloading | scanning | none
[4749/7000 3.39%] Fetching | 200 | downloading | scanning | none
[4750/7000 3.43%] Fetching | 200 | downloading | scanning | none
[4751/7000 3.48%] Fetching | 200 | downloading | scanning | none
[4752/7000 3.52%] Fetching | 200 | downloading | scanning | none
